track_number,mp3_name,title,artists,cue_name,cue_role,cue_index,start_seconds,end_seconds,source,rekordbox_type,rekordbox_num,rekordbox_location
7,comealive.mp3,Come Alive,"Grum, Sarah Appel",OUT 1,out,1,263.551,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/comealive.mp3
7,comealive.mp3,Come Alive,"Grum, Sarah Appel",OUT 3,out,3,294.518,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/comealive.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",START,start,,0.032,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",START,start,,0.032,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",IN 1,in,1,31.251,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",IN 2,in,2,62.471,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",DROP 1,drop,1,124.91,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",DROP 2,drop,2,234.178,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",OUT 1,out,1,265.397,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
8,subterranean.mp3,Subterranean,"Miss Monique, AVIRA",OUT 2,out,2,281.007,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/subterranean.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,START,start,,0.022,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,START,start,,0.022,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,IN 3,in,3,30.259,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,IN 1,in,1,60.495,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,IN 2,in,2,75.613,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,DROP 1,drop,1,136.085,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,DROP 2,drop,2,257.03,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,OUT 1,out,1,302.385,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
9,thalassophobia.mp3,Thalassophobia (Dark Mix),J Ribbon,OUT 2,out,2,317.503,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/thalassophobia.mp3
10,illusion.mp3,Illusion,Yotto,START,start,,0.105,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
10,illusion.mp3,Illusion,Yotto,START,start,,0.105,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
10,illusion.mp3,Illusion,Yotto,IN 1,in,1,31.073,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
10,illusion.mp3,Illusion,Yotto,IN 2,in,2,62.04,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
10,illusion.mp3,Illusion,Yotto,DROP 1,drop,1,93.008,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
10,illusion.mp3,Illusion,Yotto,DROP 2,drop,2,247.846,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
10,illusion.mp3,Illusion,Yotto,OUT 1,out,1,309.781,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
10,illusion.mp3,Illusion,Yotto,OUT 2,out,2,340.749,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/illusion.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,START,start,,0.115,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,START,start,,2.115,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,IN 1,in,1,34.115,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,IN 2,in,2,66.115,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,DROP 1,drop,1,98.115,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,DROP 2,drop,2,218.116,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,OUT 1,out,1,250.116,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
11,brainwasher.mp3,Brainwasher,Nox Vahn,OUT 2,out,2,314.116,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
12,warrior.mp3,Warrior,Marsh,START,start,,0.046,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,START,start,,0.046,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,IN 1,in,1,60.999,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,IN 2,in,2,106.713,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,DROP 1,drop,1,137.19,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,CHORUS 1,chorus,1,304.809,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,DROP 2,drop,2,365.762,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,OUT 1,out,1,396.238,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
12,warrior.mp3,Warrior,Marsh,OUT 2,out,2,426.714,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/warrior.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,START,start,,0.045,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,START,start,,0.529,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,IN 1,in,1,31.496,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,DROP 1,drop,1,62.464,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,BREAK 1,break,1,186.335,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,DROP 2,drop,2,217.303,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,OUT 1,out,1,248.271,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
13,walktheplank.mp3,Walk the Plank,Lane 8,OUT 2,out,2,263.755,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/walktheplank.mp3
14,powerdrive.mp3,Power Drive,Pryda,IN 1,in,1,0.111,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
